DATE,IRLTLT01ITM156N
1991-03-01,13.767
1991-04-01,13.43335
1991-05-01,13.05977
1991-06-01,13.0936
1991-07-01,13.33709
1991-08-01,13.44835
1991-09-01,13.0171
1991-10-01,12.79061
1991-11-01,12.9078
1991-12-01,12.95205
1992-01-01,12.67724
1992-02-01,12.60755
1992-03-01,12.57459
1992-04-01,12.68986
1992-05-01,12.5785
1992-06-01,13.10173
1992-07-01,13.62965
1992-08-01,13.67938
1992-09-01,14.11282
1992-10-01,14.41945
1992-11-01,13.46552
1992-12-01,13.65935
1993-01-01,13.43032
1993-02-01,13.06245
1993-03-01,12.90191
1993-04-01,13.10724
1993-05-01,12.46333
1993-06-01,11.673
1993-07-01,11.09691
1993-08-01,9.76355
1993-09-01,9.469
1993-10-01,9.01524
1993-11-01,9.33257
1993-12-01,8.93267
1994-01-01,8.6711
1994-02-01,8.76695
1994-03-01,9.44509
1994-04-01,9.04684
1994-05-01,9.37136
1994-06-01,10.47673
1994-07-01,10.76752
1994-08-01,11.45814
1994-09-01,11.93741
1994-10-01,12.07052
1994-11-01,12.02343
1994-12-01,12.19645
1995-01-01,12.3709
1995-02-01,12.39185
1995-03-01,13.45274
1995-04-01,13.40478
1995-05-01,12.29932
1995-06-01,12.38327
1995-07-01,12.21214
1995-08-01,11.6559
1995-09-01,11.54429
1995-10-01,11.96223
1995-11-01,11.62786
1995-12-01,11.17111
1996-01-01,10.43191
1996-02-01,10.51886
1996-03-01,10.68752
1996-04-01,10.339
1996-05-01,9.69577
1996-06-01,9.57035
1996-07-01,9.42804
1996-08-01,9.4839
1996-09-01,9.16838
1996-10-01,8.23278
1996-11-01,7.69285
1996-12-01,7.56547
1997-01-01,7.37543
1997-02-01,7.36335
1997-03-01,7.8694
1997-04-01,7.73686
1997-05-01,7.31986
1997-06-01,7.06638
1997-07-01,6.51817
1997-08-01,6.6575
1997-09-01,6.35582
1997-10-01,6.19691
1997-11-01,6.13295
1997-12-01,5.73768
1998-01-01,5.43435
1998-02-01,5.3749
1998-03-01,5.19768
1998-04-01,5.14619
1998-05-01,5.2076
1998-06-01,5.07895
1998-07-01,4.96996
1998-08-01,4.78729
1998-09-01,4.52582
1998-10-01,4.48631
1998-11-01,4.38351
1998-12-01,3.99512
1999-01-01,3.92233
1999-02-01,4.05379
1999-03-01,4.27124
1999-04-01,4.11022
1999-05-01,4.27919
1999-06-01,4.61521
1999-07-01,4.9377
1999-08-01,5.13436
1999-09-01,5.28188
1999-10-01,5.52122
1999-11-01,5.24581
1999-12-01,5.36007
2000-01-01,5.74797
2000-02-01,5.7264
2000-03-01,5.57685
2000-04-01,5.46569
2000-05-01,5.66472
2000-06-01,5.50964
2000-07-01,5.59131
2000-08-01,5.56267
2000-09-01,5.6323
2000-10-01,5.5784
2000-11-01,5.54812
2000-12-01,5.29808
2001-01-01,5.1831
2001-02-01,5.18368
2001-03-01,5.13048
2001-04-01,5.28228
2001-05-01,5.4487
2001-06-01,5.39902
2001-07-01,5.4162
2001-08-01,5.21455
2001-09-01,5.196
2001-10-01,4.96395
2001-11-01,4.80034
2001-12-01,5.04714
2002-01-01,5.14238
2002-02-01,5.19949
2002-03-01,5.41067
2002-04-01,5.40396
2002-05-01,5.40598
2002-06-01,5.25533
2002-07-01,5.10932
2002-08-01,4.82842
2002-09-01,4.61844
2002-10-01,4.75706
2002-11-01,4.7354
2002-12-01,4.54822
2003-01-01,4.37548
2003-02-01,4.15681
2003-03-01,4.18462
2003-04-01,4.31189
2003-05-01,4.03517
2003-06-01,3.82209
2003-07-01,4.13202
2003-08-01,4.29336
2003-09-01,4.31445
2003-10-01,4.38222
2003-11-01,4.51138
2003-12-01,4.4588
2004-01-01,4.31655
2004-02-01,4.34284
2004-03-01,4.16873
2004-04-01,4.35086
2004-05-01,4.49304
2004-06-01,4.54392
2004-07-01,4.43989
2004-08-01,4.27713
2004-09-01,4.25079
2004-10-01,4.12889
2004-11-01,3.99979
2004-12-01,3.79167
2005-01-01,3.71143
2005-02-01,3.67836
2005-03-01,3.83727
2005-04-01,3.65325
2005-05-01,3.55261
2005-06-01,3.40502
2005-07-01,3.43842
2005-08-01,3.44898
2005-09-01,3.28701
2005-10-01,3.44443
2005-11-01,3.65516
2005-12-01,3.55319
2006-01-01,3.54353
